Date,Year,Host City,Winner,Song,Performer,Points,Margin,Runner-up
24-May,1905,Lugano,Switzerland,"""Refrain""",Lys Assia,Not announced,Not announced,Not announced
3-Mar,1905,Frankfurt,Netherlands,"""Net als toen""",Corry Brokken,31,14,France
12-Mar,1905,Hilversum,France,"""Dors, mon amour""",Andr_ Claveau,27,3,Switzerland
11-Mar,1905,Cannes,Netherlands,"""Een beetje""",Teddy Scholten,21,5,United Kingdom
29-Mar,1905,London,France,"""Tom Pillibi""",Jacqueline Boyer,32,7,United Kingdom
18-Mar,1905,Cannes,Luxembourg,"""Nous les amoureux""",Jean-Claude Pascal,31,7,United Kingdom
18-Mar,1905,Luxembourg,France,"""Un premier amour""",Isabelle Aubret,26,13,Monaco
23-Mar,1905,London,Denmark,"""Dansevise""",Grethe and JÀrgen Ingmann,42,2,Switzerland
21-Mar,1905,Copenhagen,Italy,"""Non ho l'etö""",Gigliola Cinquetti,49,32,United Kingdom
20-Mar,1905,Naples,Luxembourg,"""Poup_e de cire, poup_e de son""",France Gall,32,6,United Kingdom
5-Mar,1905,Luxembourg,Austria,"""Merci, Ch_rie""",Udo JÙrgens,31,15,Sweden
8-Apr,1905,Vienna,United Kingdom,"""Puppet on a String""",Sandie Shaw,47,25,Ireland
6-Apr,1905,London,Spain,"""La, la, la""",Massiel,29,1,United Kingdom
29-Mar,1905,Madrid,Spain,"""Vivo cantando""",Salom_,18,No runner-up,No runner-up
29-Mar,1905,Madrid,United Kingdom,"""Boom Bang-a-Bang""",Lulu,18,No runner-up,No runner-up
29-Mar,1905,Madrid,Netherlands,"""De troubadour""",Lenny Kuhr,18,No runner-up,No runner-up
29-Mar,1905,Madrid,France,"""Un jour, un enfant""",Frida Boccara,18,No runner-up,No runner-up
21-Mar,1905,Amsterdam,Ireland,"""All Kinds of Everything""",Dana,32,6,United Kingdom
3-Apr,1905,Dublin,Monaco,"""Un banc, un arbre, une rue""",S_verine,128,12,Spain
25-Mar,1905,Edinburgh,Luxembourg,"""Apr�s toi""",Vicky Leandros,128,14,United Kingdom
7-Apr,1905,Luxembourg,Luxembourg,"""Tu te reconnaÓtras""",Anne-Marie David,129,4,Spain
6-Apr,1905,Brighton,Sweden,"""Waterloo""",ABBA,24,6,Italy
22-Mar,1905,Stockholm,Netherlands,"""Ding-a-dong""",Teach-In,152,14,United Kingdom
3-Apr,1905,The Hague,United Kingdom,"""Save Your Kisses for Me""",Brotherhood of Man,164,17,France
7-May,1905,London,France,"""L'oiseau et l'enfant""",Marie Myriam,136,15,United Kingdom
22-Apr,1905,Paris,Israel,"""A-Ba-Ni-Bi""(_-_-__-__)",Izhar Cohenand theAlphabeta,157,32,Belgium
31-Mar,1905,Jerusalem,Israel,"""Hallelujah""(______)",Gali AtariandMilk and Honey,125,9,Spain
19-Apr,1905,The Hague,Ireland,"""What's Another Year""",Johnny Logan,143,15,Germany
4-Apr,1905,Dublin,United Kingdom,"""Making Your Mind Up""",Bucks Fizz,136,4,Germany
24-Apr,1905,Harrogate,Germany,"""Ein bi¤chen Frieden""",Nicole,161,61,Israel
23-Apr,1905,Munich,Luxembourg,"""Si la vie est cadeau""",Corinne Herm�s,142,6,Israel
5-May,1905,Luxembourg,Sweden,"""Diggi-Loo Diggi-Ley""",Herreys,145,8,Ireland
4-May,1905,Gothenburg,Norway,"""La det swinge""",Bobbysocks!,123,18,Germany
3-May,1905,Bergen,Belgium,"""J'aime la vie""",Sandra Kim,176,36,Switzerland
9-May,1905,Brussels,Ireland,"""Hold Me Now""",Johnny Logan,172,31,Germany
30-Apr,1905,Dublin,Switzerland,"""Ne partez pas sans moi""",C_line Dion,137,1,United Kingdom
6-May,1905,Lausanne,Yugoslavia,"""Rock Me""",Riva,137,7,United Kingdom
5-May,1905,Zagreb,Italy,"""Insieme: 1992""",Toto Cutugno,149,17,Ireland
4-May,1905,Rome,Sweden,"""FÎngad av en stormvind""",Carola,146,0,France
9-May,1905,Malm_,Ireland,"""Why Me?""",Linda Martin,155,16,United Kingdom
15-May,1905,Millstreet,Ireland,"""In Your Eyes""",Niamh Kavanagh,187,23,United Kingdom
30-Apr,1905,Dublin,Ireland,"""Rock 'n' Roll Kids""",Paul HarringtonandCharlie McGettigan,226,60,Poland
13-May,1905,Dublin,Norway,"""Nocturne""",Secret Garden,148,29,Spain
18-May,1905,Oslo,Ireland,"""The Voice""",Eimear Quinn,162,48,Norway
3-May,1905,Dublin,United Kingdom,"""Love Shine a Light""",Katrina and the Waves,227,70,Ireland
9-May,1905,Birmingham,Israel,"""Diva""(_____)",Dana International,172,6,United Kingdom
29-May,1905,Jerusalem,Sweden,"""Take Me to Your Heaven""",Charlotte Nilsson,163,17,Iceland
13-May,1905,Stockholm,Denmark,"""Fly on the Wings of Love""",Olsen Brothers,195,40,Russia
12-May,1905,Copenhagen,Estonia,"""Everybody""","Tanel Padar,Dave Bentonand2XL",198,21,Denmark
25-May,1905,Tallinn,Latvia,"""I Wanna""",Marie N,176,12,Malta
24-May,1905,Riga,Turkey,"""Everyway That I Can""",Sertab Erener,167,2,Belgium
15-May,1905,Istanbul,Ukraine,"""Wild Dances""",Ruslana,280,17,Serbia and Montenegro
21-May,1905,Kiev,Greece,"""My Number One""",Helena Paparizou,230,38,Malta
20-May,1905,Athens,Finland,"""Hard Rock Hallelujah""",Lordi,292,44,Russia
12-May,1905,Helsinki,Serbia,"""Molitva""(_______)",Marija _erifovi_,268,33,Ukraine
24-May,1905,Belgrade,Russia,"""Believe""",Dima Bilan,272,42,Ukraine
16-May,1905,Moscow,Norway,"""Fairytale""",Alexander Rybak,387,169,Iceland
29-May,1905,Oslo,Germany,"""Satellite""",Lena,246,76,Turkey
14-May,1905,DÙsseldorf,Azerbaijan,"""Running Scared""",Ell & Nikki,221,32,Italy
26-May,1905,Baku,Sweden,"""Euphoria""",Loreen,372,113,Russia
18-May,1905,Malm_,Denmark,"""Only Teardrops""",Emmelie de Forest,281,47,Azerbaijan
10-May,1905,Copenhagen,Austria,"""Rise Like a Phoenix""",Conchita Wurst,290,52,Netherlands
23-May,1905,Vienna,Sweden,"""Heroes""",MÎns Zelmerl_w,365,62,Russia
14-May,1905,Stockholm,Ukraine,"""1944""",Jamala,534,23,Australia
13-May,1905,Kiev,Portugal,"""Amar pelos dois""",Salvador Sobral,758,143,Bulgaria
